Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
millie-sweatshirt-bodda-getta,Millie Sweatshirt Bodda Getta,"Sequins on Sleeves, Fuzzy sparkly lettering (Bodda Getta)<br>62% Poly, 33% Rayon, 5% Spandex<br>Hand Wash (I use machine with hand wash cycle in lingerie bag)<br>XS (0-2); S (4-6); M (8-10); L (10-12); XL (14); Generously sized",Tiger Threads,Sweatshirts & Sweaters,"Auburn, Sweatshirts & Sweaters",TRUE,Size,S,,shopify,21,deny,manual,49,TRUE,TRUE,https://williamsdigital.io/preview/tiger-threads-auburn/img/products/millie-sweatshirt-bodda-getta.jpg,1,active
millie-sweatshirt-bodda-getta,,,,,,,,M,,shopify,23,deny,manual,49,TRUE,TRUE,,,
millie-sweatshirt-bodda-getta,,,,,,,,L,,shopify,26,deny,manual,49,TRUE,TRUE,,,
millie-sweatshirt-bodda-getta,,,,,,,,XL,,shopify,2,deny,manual,49,TRUE,TRUE,,,
celia-sweater-vest,Celia Sweater Vest,"50% Viscose, 28% Poly, 22% Nylon<br>Machine Wash Cold<br>XS (0-2); S (4-6); M (8-10); L (10-12); XL (14); True To Size",Tiger Threads,Sweatshirts & Sweaters,"Auburn, Sweatshirts & Sweaters",TRUE,Size,XS,,shopify,10,deny,manual,62,TRUE,TRUE,https://williamsdigital.io/preview/tiger-threads-auburn/img/products/celia-sweater-vest.jpg,1,active
celia-sweater-vest,,,,,,,,S,,shopify,6,deny,manual,62,TRUE,TRUE,,,
celia-sweater-vest,,,,,,,,M,,shopify,4,deny,manual,62,TRUE,TRUE,,,
celia-sweater-vest,,,,,,,,L,,shopify,7,deny,manual,62,TRUE,TRUE,,,
celia-sweater-vest,,,,,,,,XL,,shopify,4,deny,manual,62,TRUE,TRUE,,,
tina-top-wde,Tina Top WDE,"Sequin/Rhinestone Lettering<br>62% Poly, 33% Rayon, 5% Spandex<br>Hand Wash (I use machine with hand wash cycle in lingerie bag)<br>XS (0-2); S (4-6); M (8-10); L (10-12); XL (14); Generously sized",Tiger Threads,Tops,"Auburn, Tops",TRUE,Size,XS,,shopify,2,deny,manual,63,TRUE,TRUE,https://williamsdigital.io/preview/tiger-threads-auburn/img/products/tina-top-wde.jpg,1,active
tina-top-wde,,,,,,,,S,,shopify,3,deny,manual,63,TRUE,TRUE,,,
tina-top-wde,,,,,,,,M,,shopify,8,deny,manual,63,TRUE,TRUE,,,
